title,date,quarter,fraud_type_counts,keyword_counts,summary
APT Actors Exploiting CVE-2021-44077 in Zoho ManageEngine ServiceDesk Plus,2021-12-03,4,"{""Threats of Violence"": 1}","{""Phishing/Spoofing"": {}, ""Extortion"": {}, ""Personal Data Breach"": {}, ""Non-Payment/Non-Delivery"": {}, ""Investment"": {}, ""Tech Support"": {}, ""Business Email Compromise"": {}, ""Identity Theft"": {}, ""Employment"": {}, ""Confidence/Romance"": {}, ""Government Impersonation"": {}, ""Credit Card/Check Fraud"": {}, ""Harassment/Stalking"": {}, ""Real Estate"": {}, ""Advanced Fee"": {}, ""Crimes Against Children"": {}, ""Lottery/Sweepstakes/Inheritance"": {}, ""Data Breach"": {}, ""Ransomware"": {}, ""Overpayment"": {}, ""IPR*/Copyright&Counterfeit"": {}, ""Threats of Violence"": {""harm"": 1}, ""SIM Swap"": {}, ""Botnet"": {}, ""Malware"": {}, ""Cryptocurrency"": {}}","The information in this product may be shared with members of your  organization, and with clients and customers who need to know the information to protect themselves or prevent  future harm."
"An APT Group Exploiting a 0-day in FatPipe WARP, MPVPN, and IPVPN Software",2021-11-17,4,{},"{""Phishing/Spoofing"": {}, ""Extortion"": {}, ""Personal Data Breach"": {}, ""Non-Payment/Non-Delivery"": {}, ""Investment"": {}, ""Tech Support"": {}, ""Business Email Compromise"": {}, ""Identity Theft"": {}, ""Employment"": {}, ""Confidence/Romance"": {}, ""Government Impersonation"": {}, ""Credit Card/Check Fraud"": {}, ""Harassment/Stalking"": {}, ""Real Estate"": {}, ""Advanced Fee"": {}, ""Crimes Against Children"": {}, ""Lottery/Sweepstakes/Inheritance"": {}, ""Data Breach"": {}, ""Ransomware"": {}, ""Overpayment"": {}, ""IPR*/Copyright&Counterfeit"": {}, ""Threats of Violence"": {}, ""SIM Swap"": {}, ""Botnet"": {}, ""Malware"": {}, ""Cryptocurrency"": {}}",
Iranian Government-Sponsored APT Cyber Actors Exploiting Microsoft Exchange and Fortinet Vulnerabilities in Furtherance of Malicious Activities,2021-11-17,4,"{""Ransomware"": 5, ""Extortion"": 1, ""Crimes Against Children"": 1, ""Threats of Violence"": 1, ""Malware"": 2, ""Phishing/Spoofing"": 1}","{""Phishing/Spoofing"": {""phishing"": 1}, ""Extortion"": {""extortion"": 1}, ""Personal Data Breach"": {}, ""Non-Payment/Non-Delivery"": {}, ""Investment"": {}, ""Tech Support"": {}, ""Business Email Compromise"": {}, ""Identity Theft"": {}, ""Employment"": {}, ""Confidence/Romance"": {}, ""Government Impersonation"": {}, ""Credit Card/Check Fraud"": {}, ""Harassment/Stalking"": {}, ""Real Estate"": {}, ""Advanced Fee"": {}, ""Crimes Against Children"": {""children"": 1}, ""Lottery/Sweepstakes/Inheritance"": {}, ""Data Breach"": {}, ""Ransomware"": {""ransomware"": 3, ""ransom"": 2}, ""Overpayment"": {}, ""IPR*/Copyright&Counterfeit"": {}, ""Threats of Violence"": {""threatening"": 1}, ""SIM Swap"": {}, ""Botnet"": {}, ""Malware"": {""malware"": 2}, ""Cryptocurrency"": {}}","FBI  and CISA have observed this Iranian government- sponsored APT group exploit Fortinet vulnerabilities  since at least March 2021 and a Microsoft Exchange  ProxyShell vulnerability since at least October 2021 to  gain initial access to systems in advance of follow-on operations, which include deploying  ransomware. These  Iranian government-sponsored APT actors can leverage this access for follow-on operations, such as  data exfiltration or encryption, ransomware, and extortion. •  In June 2021, these APT actors exploited a Fortigate appliance to access environmental  control networks associated with a U.S.-based hospital specializing in healthcare for children. The  corresponding threatening notes were either sent to the victim or left on the victim network as a .txt  file. The ransom notes included ransom demands and the following contact information. Use Antivirus Programs  •  Install and regularly update antivirus and anti-malware software on all hosts. Reduce Risk of Phishing  •  Consider adding an email banner to emails received from outside your organization. •  CISA offers a range of no-cost cyber hygiene services to help critical infrastructure  organizations assess, identify, and reduce their exposure to threats, including ransomware. Table 2: Observed Tactics and Techniques  Tactic  Technique  Resource Development [TA0042]    Obtain Capabilities: Malware [T1588.001]  Obtain Capabilities: Tool [T1588.002]  Initial Access [TA0001]    Exploit Public-Facing Application [T1190]  Execution [TA0002]    Scheduled Task/Job: Scheduled Task [T1053.005]  Persistence [TA0003]  Create Account: Local Account [T1136.001]  Create Account: Domain Account [T1136.002]  Privilege Escalation [TA0004]    Credential Access [TA0006]    Collection [TA0009]  Archive Collected Data: Archive via Utility [T1560.001]  Exfiltration [TA0010]      Impact [TA0040]  Data Encrypted for Impact [T1486]"
Ransomware Actors Use Significant Financial Events and Stock Valuation to Facilitate Targeting and Extortion of Victims,2021-11-01,4,"{""Extortion"": 4, ""Ransomware"": 31, ""Investment"": 2, ""Malware"": 7}","{""Phishing/Spoofing"": {}, ""Extortion"": {""extortion"": 4}, ""Personal Data Breach"": {}, ""Non-Payment/Non-Delivery"": {}, ""Investment"": {""investor"": 1, ""investment"": 1}, ""Tech Support"": {}, ""Business Email Compromise"": {}, ""Identity Theft"": {}, ""Employment"": {}, ""Confidence/Romance"": {}, ""Government Impersonation"": {}, ""Credit Card/Check Fraud"": {}, ""Harassment/Stalking"": {}, ""Real Estate"": {}, ""Advanced Fee"": {}, ""Crimes Against Children"": {}, ""Lottery/Sweepstakes/Inheritance"": {}, ""Data Breach"": {}, ""Ransomware"": {""ransomware"": 24, ""ransom"": 7}, ""Overpayment"": {}, ""IPR*/Copyright&Counterfeit"": {}, ""Threats of Violence"": {}, ""SIM Swap"": {}, ""Botnet"": {}, ""Malware"": {""trojan"": 2, ""malware"": 3, ""trojans"": 1, ""virus"": 1}, ""Cryptocurrency"": {}}","TLP:WHITE   TLP:WHITE   01 November 2021  20211101-001  Ransomware Actors Use Significant Financial Events and Stock  Valuation to Facilitate Targeting and Extortion of Victims     Summary  The FBI assesses ransomware actors are very likely using significant financial events, such as  mergers and acquisitions, to target and leverage victim companies for ransomware infections. Prior to an attack, ransomware actors research publicly available information, such as a victim’s  stock valuation, as well as material nonpublic information. If victims do not pay a ransom  quickly, ransomware actors will threaten to disclose this information publicly, causing potential  investor backlash. TLP:WHITE  TLP:WHITE         Threat  Ransomware actors are targeting companies involved in significant, time-sensitive financial  events to incentivize ransom payment by these victims. Ransomware is often a two-stage  process beginning with an initial intrusion through a trojan malware, which allows an access  broker to perform reconnaissance and determine how to best monetize the access. However,  while this malware is often mass distributed, most victims of trojans are not also victims of  ransomware, indicating ransomware targets are often carefully selected from a pool based on  information gleaned from the initial reconnaissance. During the initial reconnaissance phase,  cyber criminals identify non-publicly available information, which they threaten to release or  use as leverage during the extortion to entice victims to comply with ransom demands. Impending events that could affect a victim’s stock value, such as announcements, mergers,  and acquisitions, encourage ransomware actors to target a network or adjust their timeline for  extortion where access is established.  In early 2020, a ransomware actor using the moniker “Unknown” made a post on the  Russian hacking forum “Exploit” that encouraged using the NASDAQ stock exchange to  influence the extortion process. Following this posting, unidentified ransomware actors  negotiating a payment with a victim during a March 2020 ransomware event stated,  “We have also noticed that you have stocks. If you will not engage us for negotiation we  will leak your data to the nasdaq and we will see what's gonna (sic) happen with your  stocks.”   Between March and July 2020, at least three publicly traded US companies actively  involved in mergers and acquisitions were victims of ransomware during their respective  negotiations.  A November 2020 technical analysis of Pyxie RAT, a remote access trojan that often  precedes Defray777/RansomEXX ransomware infections, identified several keyword  searches on a victim’s network indicating an interest in the victim’s current and near  future stock share price. 3 N-CSR is a form that registered management investment companies must file with the Securities and Exchange  Commission within 10 days after a company disseminates annual and semi-annual reports to stockholders. Write to us in ‘Contact Us’ and we will provide you with detailed information.”  The FBI does not encourage paying a ransom to criminal actors. Paying a ransom emboldens  adversaries to target additional organizations, encourages other criminal actors to engage in  the distribution of ransomware, and/or may fund illicit activities. Paying the ransom also does  not guarantee that a victim’s files will be recovered. Regardless of whether you or your organization  have decided to pay the ransom, the FBI urges you to report ransomware incidents to your local  FBI field office. Doing so provides the FBI with the critical information they need to prevent  future attacks by identifying and tracking ransomware attackers and holding them accountable  under US law.  Install and regularly update anti-virus or anti-malware software on all hosts. 4 Darkside is a ransomware-as-a-service variant, in which criminal affiliates conduct the attacks and the proceeds  are shared with the ransomware developer(s). Darkside ransomware was used in the May 2021 Colonial Pipeline  intrusion. o The Cybersecurity and Infrastructure Security Agency-Multi-State Information  Sharing & Analysis Center Joint Ransomware Guide covers additional best  practices and ways to prevent, protect, and respond to a ransomware attack. Government’s official one-stop location for  resources to tackle ransomware more effectively."
"Tactics, Techniques, and Indicators of Compromise Associated with Hello Kitty/FiveHands Ransomware",2021-10-29,4,"{""Ransomware"": 19, ""Extortion"": 1, ""Botnet"": 2, ""Cryptocurrency"": 3, ""Malware"": 4}","{""Phishing/Spoofing"": {}, ""Extortion"": {""extortion"": 1}, ""Personal Data Breach"": {}, ""Non-Payment/Non-Delivery"": {}, ""Investment"": {}, ""Tech Support"": {}, ""Business Email Compromise"": {}, ""Identity Theft"": {}, ""Employment"": {}, ""Confidence/Romance"": {}, ""Government Impersonation"": {}, ""Credit Card/Check Fraud"": {}, ""Harassment/Stalking"": {}, ""Real Estate"": {}, ""Advanced Fee"": {}, ""Crimes Against Children"": {}, ""Lottery/Sweepstakes/Inheritance"": {}, ""Data Breach"": {}, ""Ransomware"": {""ransomware"": 10, ""ransom"": 9}, ""Overpayment"": {}, ""IPR*/Copyright&Counterfeit"": {}, ""Threats of Violence"": {}, ""SIM Swap"": {}, ""Botnet"": {""distributed denial of service"": 1, ""ddos"": 1}, ""Malware"": {""malware"": 3, ""virus"": 1}, ""Cryptocurrency"": {""bitcoin"": 3}}","Tactics, Techniques, and Indicators of Compromise Associated with  Hello Kitty/FiveHands Ransomware       Summary   The FBI first observed Hello Kitty/FiveHands ransomware in January 2021. Hello  Kitty/FiveHands actors aggressively apply pressure to victims typically using the double  extortion technique. In some cases, if the victim does not respond quickly or does not pay  the ransom, the threat actors will launch a Distributed Denial of Service (DDoS) attack  on the victim company’s public facing website. Hello Kitty/FiveHands actors demand  varying ransom payments in Bitcoin (BTC) that appear tailored to each victim,  commensurate with their assessed ability to pay it. If no ransom is paid, the threat actors  will post victim data to the Babuk site (payload.bin) or sell it to a third-party data broker. The following information is being provided by the FBI, with no guarantees or warranties, for potential    This data is provided in order                           28      2021      000 154            TLP:WHITE /       TLP:WHITE          Technical Details   Hello Kitty/FiveHands ransomware uses compromised credentials or known  vulnerabilities in SonicWall products (CVE-2021-20016, CVE-2021-20021, CVE- 202120022, CVE-2021-20023). Paying a ransom may  embolden adversaries to target additional organizations, encourage other criminal actors  to engage in the distribution of ransomware, or fund illicit activities. Paying the ransom  also does not guarantee a victim’s files will be recovered. Regardless of whether  you or your organization decides to pay the ransom, the FBI urges you to report  ransomware incidents to your local field office. Doing so provides investigators and  analysts with the critical information they need to track ransomware attackers, hold them  accountable under US law, and prevent future attacks. The FBI may seek the following information:   • Recovered executable files    • Live memory (RAM) capture    • Images of infected systems     • Malware samples    • IP addresses identified as malicious or suspicious    • Email addresses of the attackers    • A copy of the ransom note    • Ransom amount   • Bitcoin wallets used by the attackers          TLP:WHITE /       TLP:WHITE       • Bitcoin wallets used to pay the ransom   • Post-incident forensic reports         Recommended Mitigations   • Back-up critical data offline. • Install and regularly update anti-virus or anti-malware software on all hosts. o The Cybersecurity and Infrastructure Security Agency-Multi-State  Information Sharing & Analysis Center Joint Ransomware Guide covers  additional best practices and ways to prevent, protect, and respond to a  ransomware attack. If your organization is impacted by a ransomware incident, the FBI and CISA  recommend the following actions:         TLP:WHITE /       TLP:WHITE       • Isolate the infected system. Power-off and segregate any additional  computers or devices that share a network with the infected computer(s), even if  they have not been fully encrypted by ransomware. If  possible, scan your backup data with an antivirus program to check that it is free of  malware."
Indicators of Compromise Associated with Ranzy Locker Ransomware,2021-10-26,4,"{""Ransomware"": 10, ""Phishing/Spoofing"": 1, ""Extortion"": 1}","{""Phishing/Spoofing"": {""phishing"": 1}, ""Extortion"": {""extortion"": 1}, ""Personal Data Breach"": {}, ""Non-Payment/Non-Delivery"": {}, ""Investment"": {}, ""Tech Support"": {}, ""Business Email Compromise"": {}, ""Identity Theft"": {}, ""Employment"": {}, ""Confidence/Romance"": {}, ""Government Impersonation"": {}, ""Credit Card/Check Fraud"": {}, ""Harassment/Stalking"": {}, ""Real Estate"": {}, ""Advanced Fee"": {}, ""Crimes Against Children"": {}, ""Lottery/Sweepstakes/Inheritance"": {}, ""Data Breach"": {}, ""Ransomware"": {""ransomware"": 6, ""ransom"": 4}, ""Overpayment"": {}, ""IPR*/Copyright&Counterfeit"": {}, ""Threats of Violence"": {}, ""SIM Swap"": {}, ""Botnet"": {}, ""Malware"": {}, ""Cryptocurrency"": {}}","TLP: WHITE  TLP: WHITE  25 Oct 2021  CU-000153-MW  Indicators of Compromise Associated with Ranzy Locker  Ransomware    Summary  The FBI first identified Ranzy Locker ransomware in late 2020 when the variant began to target  victims in the United States. Unknown cyber criminals using Ranzy Locker ransomware had  compromised more than 30 US businesses as of July 2021. Recent victims  reported the actors leveraged known Microsoft Exchange Server vulnerabilities and phishing as  the means of compromising their networks. The Ranzy Locker executable leaves a ransom note in  all directories where encryption occurred demanding the victim pay a ransom in exchange for a       TLP: WHITE  TLP: WHITE  decryption tool. In an example of double extortion techniques, Ranzy actors in some cases  have demanded a second ransom from the victim in exchange for not leaking the data on the  Internet. Newly created accounts with the name “felix” have been  observed on at least three victims of the ransomware. Ransomware Executable    The name of the Ranzy Locker executable is the subID found in the key on the ransom note. Government’s new, official one-stop location for resources to tackle ransomware more  effectively."
BlackMatter Ransomware,2021-10-19,4,"{""Ransomware"": 31, ""Extortion"": 1, ""Malware"": 1, ""IPR*/Copyright&Counterfeit"": 1}","{""Phishing/Spoofing"": {}, ""Extortion"": {""extortion"": 1}, ""Personal Data Breach"": {}, ""Non-Payment/Non-Delivery"": {}, ""Investment"": {}, ""Tech Support"": {}, ""Business Email Compromise"": {}, ""Identity Theft"": {}, ""Employment"": {}, ""Confidence/Romance"": {}, ""Government Impersonation"": {}, ""Credit Card/Check Fraud"": {}, ""Harassment/Stalking"": {}, ""Real Estate"": {}, ""Advanced Fee"": {}, ""Crimes Against Children"": {}, ""Lottery/Sweepstakes/Inheritance"": {}, ""Data Breach"": {}, ""Ransomware"": {""ransomware"": 26, ""ransom"": 5}, ""Overpayment"": {}, ""IPR*/Copyright&Counterfeit"": {""trademark"": 1}, ""Threats of Violence"": {}, ""SIM Swap"": {}, ""Botnet"": {}, ""Malware"": {""malware"": 1}, ""Cryptocurrency"": {}}","TLP:WHITE BlackMatter Ransomware   SUMMARY  This joint Cybersecurity Advisory was developed by the  Cybersecurity and Infrastructure Security Agency (CISA),  the Federal Bureau of Investigation (FBI), and the  National Security Agency (NSA) to provide information on  BlackMatter ransomware. Since July 2021, BlackMatter  ransomware has targeted multiple U.S. This advisory provides information on cyber actor tactics,  techniques, and procedures (TTPs) obtained from a  sample of BlackMatter ransomware analyzed in a  sandbox environment as well from trusted third-party reporting. These mitigations will help organizations reduce the risk of compromise  from BlackMatter ransomware attacks. Actions you Can Take Now to  Protect Against BlackMatter  Ransomware:  • Implement and enforce backup  and restoration policies and  procedures. Tactics, Techniques, and Procedures  This advisory provides information on cyber actor TTPs  obtained from the following sample of BlackMatter  ransomware, which was analyzed in a sandbox  environment, as well as from trusted third parties: SHA- 256: 706f3eec328e91ff7f66c8f0a2fb9b556325  c153a329a2062dc85879c540839d. Table 1: BlackMatter Actors and Ransomware TTPs  Tactic  Technique  Procedure  Persistence  [TA0003]  External Remote Services  [T1133]  BlackMatter leverages legitimate remote  monitoring and management software  and remote desktop software, often by  setting up trial accounts, to maintain  persistence on victim networks. Exfiltration  [TA0010]  Exfiltration Over Web Service  [T1567]  BlackMatter attempts to exfiltrate data for  extortion. Impact [TA0040]  Data Encrypted for Impact  [T1486]  BlackMatter remotely encrypts shares via  SMB protocol and drops a ransomware  note in each directory. These signatures will identify and  block placement of the ransom note on the first share that is encrypted, subsequently blocking  additional SMB traffic from the encryptor system for 24 hours. •  Segment networks to prevent the spread of ransomware. Network segmentation can help  prevent the spread of ransomware by controlling traffic flows between—and access to— various subnetworks and by restricting adversary lateral movement. To aid in detecting the  ransomware, implement a tool that logs and reports all network traffic, including lateral  movement activity on a network. Given that there has been an observed increase in ransomware attacks during non- business hours, especially holidays and weekends, CISA, the FBI, and NSA recommend  organizations:  •  Implement time-based access for accounts set at the admin level and higher. This  practice will ensure the organization will not be severely interrupted, have irretrievable data, or  be held up by a ransom demand. Refer to the CISA-Multi-State information and Sharing Center (MS-ISAC) Joint Ransomware Guide  for general mitigations to prepare for and reduce the risk of compromise by ransomware attacks. Note: critical infrastructure organizations with industrial control systems/operational technology  networks should review joint CISA-FBI Cybersecurity Advisory AA21-131A: DarkSide Ransomware:  Best Practices for Preventing Business Disruption from Ransomware Attacks for more mitigations,  including mitigations to reduce the risk of severe business or functional degradation should their entity  fall victim to a ransomware attack. RESPONDING TO RANSOMWARE ATTACKS  If a ransomware incident occurs at your organization, CISA, the FBI, and NSA recommend:  •  Following the Ransomware Response Checklist on p. 11 of the CISA-Multi-State  Information Sharing and Analysis Center (MS-ISAC) Joint Ransomware Guide. If possible, scan backup data with an antivirus program to check that it is  free of malware. Note: CISA, the FBI, and NSA strongly discourage paying a ransom to criminal actors. Paying a  ransom may embolden adversaries to target additional organizations, encourage other criminal actors  to engage in the distribution of ransomware, and/or may fund illicit activities. Paying the ransom also  does not guarantee that a victim’s files will be recovered. •  CISA’s Ransomware Readiness Assessment (RRA) is a no-cost self-assessment based on a  tiered set of practices to help organizations better assess how well they are equipped to  defend and recover from a ransomware incident. •  CISA offers a range of no-cost cyber hygiene services to help critical infrastructure  organizations assess, identify, and reduce their exposure to threats, including ransomware. Any reference to specific commercial products, processes, or services by  service mark, trademark, manufacturer, or otherwise, does not constitute or imply their endorsement,  recommendation, or favoring by CISA, the FBI, or NSA."
Ongoing Cyber Threats to U.S. Water and Wastewater Systems,2021-10-14,4,"{""Phishing/Spoofing"": 4, ""Ransomware"": 15, ""Botnet"": 1, ""Malware"": 1, ""IPR*/Copyright&Counterfeit"": 1}","{""Phishing/Spoofing"": {""spearphishing"": 3, ""phishing"": 1}, ""Extortion"": {}, ""Personal Data Breach"": {}, ""Non-Payment/Non-Delivery"": {}, ""Investment"": {}, ""Tech Support"": {}, ""Business Email Compromise"": {}, ""Identity Theft"": {}, ""Employment"": {}, ""Confidence/Romance"": {}, ""Government Impersonation"": {}, ""Credit Card/Check Fraud"": {}, ""Harassment/Stalking"": {}, ""Real Estate"": {}, ""Advanced Fee"": {}, ""Crimes Against Children"": {}, ""Lottery/Sweepstakes/Inheritance"": {}, ""Data Breach"": {}, ""Ransomware"": {""ransomware"": 15}, ""Overpayment"": {}, ""IPR*/Copyright&Counterfeit"": {""trademark"": 1}, ""Threats of Violence"": {}, ""SIM Swap"": {}, ""Botnet"": {""denial of service"": 1}, ""Malware"": {""malware"": 1}, ""Cryptocurrency"": {}}","•  Spearphishing personnel to deliver malicious payloads, including ransomware [T1566]. o Spearphishing is one of the most prevalent techniques used for initial access to IT  networks. o When organizations integrate IT with OT systems, attackers can gain access—either  purposefully or inadvertently—to OT assets after the IT network has been  compromised through spearphishing and other techniques. o For example, threat actors can exploit a Remote Desktop Protocol (RDP) that is  insecurely connected to the internet to infect a network with ransomware. Successful compromise of these devices may lead to loss of system  control, denial of service, or loss of sensitive data [T0827]. The ransomware variant had been in the system for about a month and  was discovered when three supervisory control and data acquisition (SCADA) servers  displayed a ransomware message. •  In July 2021, cyber actors used remote access to introduce ZuCaNo ransomware onto a  Maine-based WWS facility’s wastewater SCADA computer. •  In March 2021, cyber actors used an unknown ransomware variant against a Nevada-based  WWS facility. The ransomware affected the victim’s SCADA system and backup systems. •  In September 2020, personnel at a New Jersey-based WWS facility discovered—what they  believed to be—Makop ransomware had compromised files within their system. 11 of the CISA-Multi-State Information Sharing and Analysis Center  (MS-ISAC) Joint Ransomware Guide. Use a risk-based asset inventory strategy to determine how OT network  assets are identified and evaluated for the presence of malware. o Ensure backups are not connected to the network to prevent the potential spread of  ransomware to the backups. •  Train users through awareness and simulations to recognize and report phishing and social  engineering attempts. RESOURCES  Cyber Hygiene Services  CISA offers a range of no-cost cyber hygiene services—including vulnerability scanning and  ransomware readiness assessments—to help critical infrastructure organizations assess, identify, and  reduce their exposure to cyber threats. This includes ransomware alerts, reports, and  resources from CISA and other federal partners, including:  •  CISA and MS-ISAC: Joint Ransomware Guide  •  CISA Insights: Ransomware Outbreak  •  CISA Webinar: Combating Ransomware  Additional Resources  For additional resources that can assist in preventing and mitigating this activity, see:  •  FBI-CISA-EPA-MS-ISAC Joint CSA: Compromise of U.S. Reference herein to any specific commercial products, process, or service  by trade name, trademark, manufacturer, or otherwise, does not constitute or imply its endorsement,  recommendation, or favoring by the United States Government, and this guidance shall not be used  for advertising or product endorsement purposes."
APT Actors Exploiting Newly Identified Vulnerability in ManageEngine ADSelfService Plus,2021-09-17,3,{},"{""Phishing/Spoofing"": {}, ""Extortion"": {}, ""Personal Data Breach"": {}, ""Non-Payment/Non-Delivery"": {}, ""Investment"": {}, ""Tech Support"": {}, ""Business Email Compromise"": {}, ""Identity Theft"": {}, ""Employment"": {}, ""Confidence/Romance"": {}, ""Government Impersonation"": {}, ""Credit Card/Check Fraud"": {}, ""Harassment/Stalking"": {}, ""Real Estate"": {}, ""Advanced Fee"": {}, ""Crimes Against Children"": {}, ""Lottery/Sweepstakes/Inheritance"": {}, ""Data Breach"": {}, ""Ransomware"": {}, ""Overpayment"": {}, ""IPR*/Copyright&Counterfeit"": {}, ""Threats of Violence"": {}, ""SIM Swap"": {}, ""Botnet"": {}, ""Malware"": {}, ""Cryptocurrency"": {}}",
Cyber Criminal Actors Targeting the Food and Agriculture Sector with Ransomware Attacks,2021-09-07,3,"{""Ransomware"": 25, ""Extortion"": 1, ""Data Breach"": 1, ""Harassment/Stalking"": 1, ""Botnet"": 1, ""Malware"": 4, ""Phishing/Spoofing"": 2}","{""Phishing/Spoofing"": {""phishing"": 2}, ""Extortion"": {""extortion"": 1}, ""Personal Data Breach"": {}, ""Non-Payment/Non-Delivery"": {}, ""Investment"": {}, ""Tech Support"": {}, ""Business Email Compromise"": {}, ""Identity Theft"": {}, ""Employment"": {}, ""Confidence/Romance"": {}, ""Government Impersonation"": {}, ""Credit Card/Check Fraud"": {}, ""Harassment/Stalking"": {""harassing"": 1}, ""Real Estate"": {}, ""Advanced Fee"": {}, ""Crimes Against Children"": {}, ""Lottery/Sweepstakes/Inheritance"": {}, ""Data Breach"": {""data breach"": 1}, ""Ransomware"": {""ransomware"": 19, ""ransom"": 5, ""ransoms"": 1}, ""Overpayment"": {}, ""IPR*/Copyright&Counterfeit"": {}, ""Threats of Violence"": {}, ""SIM Swap"": {}, ""Botnet"": {""distributed denial of service"": 1}, ""Malware"": {""malware"": 3, ""virus"": 1}, ""Cryptocurrency"": {}}","Cyber Criminal Actors Targeting the Food  and Agriculture Sector with Ransomware  Attacks  Summary  Ransomware attacks targeting the Food and Agriculture sector disrupt  operations, cause financial loss, and negatively impact the food supply  chain. Ransomware may impact businesses across the sector, from  small farms to large producers, processors and manufacturers, and  markets and restaurants. Food and agriculture businesses victimized by ransomware suffer  significant financial loss resulting from ransom payments, loss of  productivity, and remediation costs. Companies may also experience  the loss of proprietary information and personally identifiable  information (PII) and may suffer reputational damage resulting from a  ransomware attack. Larger businesses are targeted based on their perceived  ability to pay higher ransom demands, while smaller entities may be seen as soft targets, particularly  those in the earlier stages of digitizing their processes, according to a private industry report. In a ransomware attack, victims’ files are encrypted and made unavailable, and the attacker  demands a payment for the decryption tool and key. This double extortion potentially gives the attacker more leverage  to ensure payment, based on the potential damage caused by a significant data breach of sensitive  information. Threat actors may apply additional coercive tactics such as convincing media  organizations to write stories on victim security incidents, harassing employees by phone, notifying  business partners of data theft, and conducting distributed denial of service attacks to further  disrupt operations. According to a private industry report, cyber actors may gradually broaden their  attack from just information technology (IT) and business processes to also include the operational  technology (OT) assets, which monitor and control physical processes, impacting industrial  production regardless of whether the malware was deployed in IT or OT systems. The impact of ransomware attacks continues to grow. From 2019 to 2020, the average ransom  demand doubled and the average cyber insurance payout increased by 65 percent from 2019 to  2020. Separate studies have  shown 50-80 percent of victims that paid the ransom experienced a repeat ransomware attack by  either the same or different actors. Although cyber criminals use a variety of techniques to infect  victims with ransomware, the most common means of infection are email phishing campaigns,  Remote Desktop Protocol (RDP) vulnerabilities, and software vulnerabilities. Examples of ransomware attacks impacting food and agriculture sector businesses include the  following:  • In July 2021, a US bakery company lost access to their server, files, and applications, halting their  production, shipping, and receiving as a result of Sodinokibi/REvil ransomware which was  deployed through software used by an IT support managed service provider (MSP). TLP:WHITE     TLP:WHITE  • In May 2021, cyber actors using a variant of the Sodinokibi/REvil ransomware compromised  computer networks in the US and overseas locations of a global meat processing company, which  resulted in the possible exfiltration of company data and the shutdown of some US-based plants  for several days. • In March 2021, a US beverage company suffered a ransomware attack that caused significant  disruption to its business operations, including its operations, production, and shipping. The  company took its systems offline to prevent the further spread of malware, directly impacting  employees who were unable to access specific systems, according to open source reports. • In November 2020, a US-based international food and agriculture business reported it was  unable to access multiple computer systems tied to their network due to a ransomware attack  conducted by OnePercent Group threat actors using a phishing email with a malicious zip file  attachment. The following steps can be implemented to mitigate the threat and protect  against ransomware attacks:  • Regularly back up data, air gap, and password protect backup copies offline. • Install and regularly update anti-virus and anti-malware software on all hosts. The FBI does not encourage paying ransoms. It may also embolden adversaries to target additional                                 TLP:WHITE     TLP:WHITE  organizations, encourage other criminal actors to engage in the distribution of ransomware, and/or  fund illicit activities. Regardless of  whether you or your organization have decided to pay the ransom, the FBI urges you to promptly  report ransomware incidents to your local field office or the FBI’s 24/7 Cyber Watch (CyWatch). Doing so provides the FBI with critical information needed to prevent future attacks by identifying  and tracking ransomware attackers and holding them accountable under U.S. Government’s new, official one-stop  location for resources to tackle ransomware more effectively."
